Model,MSE,RMSE,MAE,MAPE(%),R²
ARIMA,1876231.9307240203,1369.7561573959142,1157.3720665794629,28.178386927924514,-2.4957250200450596
SARIMAX,1565516.9499242068,1251.2061980042326,1039.4511908347617,25.142738693594957,-1.916812512109229
LSTM (best architecture),27234.08737682634,165.02753520799595,127.85125917376894,3.0350257051224667,0.943330668533672
