,Variable,Coefficient,Std Error,P-value
DXY,Intercept,-72.86823029275007,6.466162576993867,1.8633594471599279e-29
VIX,DXY,-1.4115661574499796,1.906016540932403,0.458945456542191
TNX,VIX,-85.86009521777521,10.318903982133468,8.747458315373358e-17
SPX,TNX,6.800312466178742,9.142731651898623,0.4570008776517901
Oil,SPX,11.762943393144685,1.7100727782983438,6.043449079263709e-12
sigma2,Oil,321.8707676731248,7.7378684172726535,0.0
